Brand,Category,Color0,Color1,Color2,Color3,Color4,Color5,Rating,URL,Average_Price,C0_stock,C1_stock,C2_stock,C3_stock,C4_stock,C5_stock,Total_stock,Gender,Price_type
Rockport,Men,Brown,Taupe,,,,,4.1121,https://www.macys.com/shop/product/mens-trail-technique-adjustable-sandals?ID=11165138&CategoryID=197651,69.95,3,66,0,0,0,0,69,Men,Reasonable
Perry Ellis Portfolio,Pants,Twilight,,,,,,4.4043,https://www.macys.com/shop/product/perry-ellis-portfolio-mens-classic-regular-fit-elastic-waist-double-pleated-cuffed-dress-pants?ID=6194466&CategoryID=197651,41.99,0,0,0,0,0,0,0,Men,Reasonable
Macy's,Jewelry & Watches,Silver,Gold Over Silver,,,,,3.75,https://www.macys.com/shop/product/mens-diamond-two-tone-cluster-ring-1-5-ct.-t.w.-in-sterling-silver-18k-gold-plate?ID=7211967&CategoryID=197651,192.5,6,10,0,0,0,0,16,Men,Expensive
Polo Ralph Lauren,Shorts,Newport Navy,Rl 2000 Red,White,,,,0,https://www.macys.com/shop/product/polo-ralph-lauren-mens-9-1-2-inch-american-flag-fleece-shorts?ID=13350567&CategoryID=197651,73.87,10,10,15,0,0,0,35,Men,Reasonable
Levi's,Pants,Caviar Twill,Haystack,Fondue Fudge,Nightshadow Blue,Novo Plaid Egret,Dusty Pink,4.7041,https://www.macys.com/shop/product/levis-mens-xx-chino-ez-pants?ID=12415956&CategoryID=197651,36.41857143,15,15,15,15,15,15,105,Men,Reasonable
Dockers,Pants,New British Khaki,Mineral Black,Nightwatch Blue,Warm Ash Grey,,,4.7531,https://www.macys.com/shop/product/dockers-mens-straight-fit-city-tech-trousers?ID=11403897&CategoryID=197651,50.4,136,136,136,136,0,0,544,Men,Reasonable
Macy's,Bracelets,Silver,,,,,,3,https://www.macys.com/shop/product/mens-black-diamond-pave-link-bracelet-1-2-ct.-t.w.-in-sterling-silver-also-available-in-white-diamonds?ID=10944393&CategoryID=197651,279.65,0,0,0,0,0,0,0,Men,Expensive
Tommy Bahama,Casual Button-Down Shirts,Darkorange,,,,,,4.5,https://www.macys.com/shop/product/tommy-bahama-mens-weekend-tropics-silk-shirt-created-for-macys?ID=10197143&CategoryID=197651,68.99,3,0,0,0,0,0,3,Men,Reasonable
Fifth Sun,T-Shirts,Royal,,,,,,0,https://www.macys.com/shop/product/fifth-sun-mens-storm-stripes-short-sleeve-crew-t-shirt?ID=12292130&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zBROWSE_ZONE_C~xcm_choiceId~zcidMDKMXT-6991b3f7-ef93-47ef-980a-ba218421f86c%40HC3%40Our%2Btop%2Bdeals%2B%2526%2Bpicks%24197651%2412292130~xcm_pos~zPos2~xcm_srcCatID~z30423,17.49,10,0,0,0,0,0,10,Men,Reasonable
Diesel,General,Blue,,,,,,0,https://www.macys.com/shop/product/diesel-mens-mr-daddy-2.0-three-hand-blue-silicone-strap-buckle-watch-57mm?ID=12208485&CategoryID=197651,222.19,0,0,0,0,0,0,0,Men,Expensive
Diesel,General,Gunmetal,,,,,,0,https://www.macys.com/shop/product/diesel-mens-analog-digital-chronograph-clasher-gunmetal-tone-stainless-steel-bracelet-watch-51mm?ID=13462623&CategoryID=197651,239.06,0,0,0,0,0,0,0,Men,Expensive
Macy's,Necklaces,Gold Over Silver,,,,,,3.8125,https://www.macys.com/shop/product/mens-coin-24-pendant-necklace-in-14k-gold-plated-sterling-silver?ID=6229114&CategoryID=197651,192.5,0,0,0,0,0,0,0,Men,Expensive
Movado,General,Black,,,,,,5,https://www.macys.com/shop/product/movado-bold-mens-swiss-tr90-black-leather-strap-watch-42mm?ID=12922470&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Victory Sportswear,Coats & Jackets,Black,,,,,,5,https://www.macys.com/shop/product/victory-sportswear-retro-leather-mens-full-zip-jacket?ID=10148053&CategoryID=197651,147,10,0,0,0,0,0,10,Men,Expensive
Dolce & Gabbana,Sunglasses,GOLD/BLACK MATTE/GREY,,,,,,0,https://www.macys.com/shop/product/dolce-gabbana-sunglasses-0dg2257?ID=11184110&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Macy's,Necklaces,Silver,,,,,,4,https://www.macys.com/shop/product/cuban-link-24-chain-necklace-in-sterling-silver?ID=10419463&CategoryID=197651,231,0,0,0,0,0,0,0,Men,Expensive
Michael Kors,General,Gold,,,,,,4.1667,https://www.macys.com/shop/product/michael-kors-mens-blake-gold-tone-stainless-steel-bracelet-watch-42mm?ID=8570452&CategoryID=197651,165,0,0,0,0,0,0,0,Men,Expensive
Skagen,General,"Silvertone, Black",,,,,,0,https://www.macys.com/shop/product/skagen-mens-jorn-stainless-steel-bracelet-watch-41mm?ID=13462922&CategoryID=197651,81.56,0,0,0,0,0,0,0,Men,Reasonable
Rockport,Shoes,"Navy Suede, Mesh",,,,,,3.7273,https://www.macys.com/shop/product/rockport-mens-xcs-spruce-peak-blucher-shoes?ID=12175801&CategoryID=197651,58.8,0,0,0,0,0,0,0,Men,Reasonable
PRADA,Sunglasses,HAVANA/BROWN GRADIENT,,,,,,4.7778,https://www.macys.com/shop/product/prada-womens-sunglasses-0pr-24xs?ID=11448082&CategoryID=197651,205.1,0,0,0,0,0,0,0,Men,Expensive
EFFY Collection,Jewelry & Watches,Silver,,,,,,5,https://www.macys.com/shop/product/effy-mens-hematite-9-x-7mm-diamond-accent-ring-in-sterling-silver?ID=6812585&CategoryID=197651,122.15,0,0,0,0,0,0,0,Men,Expensive
Cole Haan,Shoes,Black,,,,,,3.8333,https://www.macys.com/shop/product/cole-haan-lenox-hill-cap-toe-oxfords?ID=1321860&CategoryID=197651,110.88,0,0,0,0,0,0,0,Men,Expensive
Cole Haan,Shoes,Moonlit Ocean Suede,,,,,,5,https://www.macys.com/shop/product/cole-haan-mens-2.zerogrand-laser-wingtip-oxford-dress-shoe?ID=13613468&CategoryID=197651,180,3,0,0,0,0,0,3,Men,Expensive
Triton,Jewelry & Watches,White Tungsten,Black Tungsten,,,,,4.2,https://www.macys.com/shop/product/triton-mens-ring-8mm-wedding-band-in-white-or-black-tungsten?ID=782937&CategoryID=197651,367.5,78,78,0,0,0,0,156,Men,Expensive
Cole Haan,Shoes,Walnut Nubuck,,,,,,4.6667,https://www.macys.com/shop/product/cole-haan-mens-grand-crosscourt-modern-midcut-sneakers?ID=12845918&CategoryID=197651,100.8,10,0,0,0,0,0,10,Men,Expensive
Cole Haan,Shoes,Ch Mortar Twisted Knit/blanc,,,,,,0,https://www.macys.com/shop/product/cole-haan-mens-2.zerogrand-stitchlite-oxford-wingtip-dress-shoe?ID=13613438&CategoryID=197651,100.8,0,0,0,0,0,0,0,Men,Expensive
Fossil,General,Black,,,,,,3.8889,https://www.macys.com/shop/product/fossil-mens-flynn-automatic-black-stainless-steel-watch-48mm?ID=12455104&CategoryID=197651,157.5,0,0,0,0,0,0,0,Men,Expensive
Tissot,Jewelry & Watches,No Color,,,,,,0,https://www.macys.com/shop/product/tissot-mens-swiss-automatic-tradition-two-tone-stainless-steel-bracelet-watch-40mm?ID=4827450&CategoryID=197651,506.81,0,0,0,0,0,0,0,Men,Expensive
Macy's,Necklaces,No Color,,,,,,4.2857,https://www.macys.com/shop/product/24-mens-franco-box-chain-necklace-in-sterling-silver?ID=891442&CategoryID=197651,149.64,0,0,0,0,0,0,0,Men,Expensive
Hugo Boss,Hugo Boss,Dark Blue,,,,,,0,https://www.macys.com/shop/product/boss-mens-slim-fit-t-shirt?ID=13640233&CategoryID=197651,57.4,3,0,0,0,0,0,3,Men,Reasonable
Italian Gold,Necklaces,Yellow Gold,,,,,,3,https://www.macys.com/shop/product/polished-20-figaro-chain-in-10k-yellow-gold?ID=11832933&CategoryID=197651,250.25,0,0,0,0,0,0,0,Men,Expensive
Cole Haan,Shoes,Ch Dark Coffee,Dark Gray Suede,,,,,0,https://www.macys.com/shop/product/cole-haan-mens-go-to-lace-up-oxford-shoes?ID=13613434&CategoryID=197651,126,0,1,0,0,0,0,1,Men,Expensive
Johnston & Murphy,Shoes,Navy,,,,,,5,https://www.macys.com/shop/product/johnston-murphy-mens-parsons-plain-toe-sneakers?ID=12597025&CategoryID=197651,108,21,0,0,0,0,0,21,Men,Expensive
Diesel,General,Gold,,,,,,5,https://www.macys.com/shop/product/diesel-mens-tough-guy-gold-tone-stainless-steel-bracelet-watch-48mm?ID=10487805&CategoryID=197651,118.13,0,0,0,0,0,0,0,Men,Expensive
Rains,Coats & Jackets,Green,Navy,,,,,4.75,https://www.macys.com/shop/product/rains-unisex-short-hooded-raincoat?ID=10762930&CategoryID=197651,77,1,3,0,0,0,0,4,Men,Reasonable
Fossil,General,Black,,,,,,4.6559,https://www.macys.com/shop/product/fossil-mens-flynn-automatic-gunmetal-black-stainless-steel-watch-48mm?ID=12455110&CategoryID=197651,157.5,0,0,0,0,0,0,0,Men,Expensive
Macy's,Necklaces,Gold Over Silver,,,,,,4.25,https://www.macys.com/shop/product/cuban-link-24-chain-necklace-in-18k-gold-plated-sterling-silver?ID=10419594&CategoryID=197651,231,0,0,0,0,0,0,0,Men,Expensive
Italian Gold,Necklaces,Gold,,,,,,2.7368,https://www.macys.com/shop/product/16-polished-fancy-link-chain-necklace-1-1-2mm-in-14k-gold?ID=5611811&CategoryID=197651,77,0,0,0,0,0,0,0,Men,Reasonable
HUGO,Jewelry & Watches,Blue,,,,,,0,https://www.macys.com/shop/product/hugo-mens-exist-ultra-slim-blue-leather-strap-watch-40mm?ID=7231897&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Calvin Klein,Coats & Jackets,Black,True Navy,Dark Tan,Iron,,,4.7172,https://www.macys.com/shop/product/calvin-klein-mens-classic-midweight-stand-collar-jacket?ID=6614841&CategoryID=197651,62.99,10,10,10,10,0,0,40,Men,Reasonable
Calvin Klein,Shoes,Navy,Taupe,,,,,4.5,https://www.macys.com/shop/product/calvin-klein-mens-oliver-loafers?ID=14323375&CategoryID=197651,85.05,45,10,0,0,0,0,55,Men,Reasonable
Tissot,General,Black,,,,,,0,https://www.macys.com/shop/product/tissot-mens-swiss-automatic-prs-516-black-perforated-leather-strap-watch-42mm?ID=13905238&CategoryID=197651,462.19,0,0,0,0,0,0,0,Men,Expensive
Gucci,Sunglasses,GOLD SHINY / BROWN,,,,,,5,https://www.macys.com/shop/product/gucci-sunglasses-gg0422s-60?ID=8066694&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Fossil,General,Blue,,,,,,4.7833,https://www.macys.com/shop/product/fossil-mens-rhett-chronograph-blue-leather-watch-42mm?ID=12455103&CategoryID=197651,90,0,0,0,0,0,0,0,Men,Reasonable
Johnston & Murphy,Shoes,White/White Croc,,,,,,4.6842,https://www.macys.com/shop/product/johnston-murphy-mens-xc4-water-resistant-h2-luxe-hybrid-saddle-golf-shoes?ID=11448219&CategoryID=197651,170.1,28,0,0,0,0,0,28,Men,Expensive
Perry Ellis Portfolio,Pants,Toast,,,,,,5,https://www.macys.com/shop/product/perry-ellis-portfolio-big-tall-modern-fit-performance-stretch-dress-pants?ID=8204902&CategoryID=197651,41.99,0,0,0,0,0,0,0,Men,Reasonable
Tissot,Jewelry & Watches,Black,,,,,,0,https://www.macys.com/shop/product/tissot-mens-swiss-automatic-chronograph-t-classic-le-locle-black-leather-strap-watch-39mm?ID=2521822&CategoryID=197651,605.63,0,0,0,0,0,0,0,Men,Expensive
Florsheim,Shoes,Black,Brown,,,,,4.2308,https://www.macys.com/shop/product/florsheim-mens-angelo-cap-toe-oxfords?ID=8074462&CategoryID=197651,112.5,66,66,0,0,0,0,132,Men,Expensive
Johnston & Murphy,Shoes,Black,,,,,,4.5126,https://www.macys.com/shop/product/johnston-murphy-mens-tabor-cap-toe-oxford?ID=7079394&CategoryID=197651,99.9,6,0,0,0,0,0,6,Men,Reasonable
Macy's,Necklaces,No Color,,,,,,3.875,https://www.macys.com/shop/product/mens-sterling-silver-necklace-24-5-1-2mm-chain?ID=891444&CategoryID=197651,96.25,0,0,0,0,0,0,0,Men,Reasonable
INC International Concepts,Blazers & Sport Coats,Deep Black,,,,,,4.75,https://www.macys.com/shop/product/inc-international-concepts-mens-slim-fit-black-solid-suit-jacket-created-for-macys?ID=11780154&CategoryID=197651,73.23,15,0,0,0,0,0,15,Men,Reasonable
Versace,Sunglasses,WHITE / GREY,BLACK / GREY,,,,,4.6429,https://www.macys.com/shop/product/versace-sunglasses-ve4361-53-biggie?ID=6906866&CategoryID=197651,241.5,0,0,0,0,0,0,0,Men,Expensive
Cole Haan,Shoes,Black/Black,,,,,,4.5625,https://www.macys.com/shop/product/cole-haan-mens-4.zerogrand-all-day-slide-sandals?ID=12392030&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Tissot,General,No Color,,,,,,0,https://www.macys.com/shop/product/tissot-mens-swiss-chronograph-chrono-xl-nba-chicago-bulls-black-leather-strap-watch-45mm?ID=5332510&CategoryID=197651,239.06,0,0,0,0,0,0,0,Men,Expensive
Sun + Stone,Casual Button-Down Shirts,Combo A Pompado,,,,,,0,https://www.macys.com/shop/product/sun-stone-mens-billy-regular-fit-cowboy-print-camp-shirt-created-for-macys?ID=13797609&CategoryID=197651,19.6,10,0,0,0,0,0,10,Men,Reasonable
Michael Kors,Accessories,Black,,,,,,5,https://www.macys.com/shop/product/michael-kors-mens-mason-explorer-signature-backpack?ID=10515637&CategoryID=197651,139.5,0,0,0,0,0,0,0,Men,Expensive
PRADA LINEA ROSSA,Sunglasses,SILVER MIRROR POLAR/GRAY,,,,,,5,https://www.macys.com/shop/product/prada-linea-rossa-sunglasses-ps-53ts?ID=6002181&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Tommy Hilfiger,Shoes,Cognac,Black,,,,,3.7733,https://www.macys.com/shop/product/tommy-hilfiger-mens-kerry-drivers?ID=8099244&CategoryID=197651,56.07,190,217,0,0,0,0,407,Men,Reasonable
GUESS,T-Shirts,Pure White Multi,,,,,,0,https://www.macys.com/shop/product/guess-mens-resort-print-t-shirt?ID=14248624&CategoryID=197651,24.01,1,0,0,0,0,0,1,Men,Reasonable
Ray-Ban,Sunglasses,BLACK CLEAR/GREEN,BLACK MATTE/GREEN,BROWN/GREEN,BLACK CLEAR/GREEN,Black/Green,Black,4.6092,https://www.macys.com/shop/product/ray-ban-sunglasses-rb2132-new-wayfarer-color-mix?ID=3425577&CategoryID=197651,NA,0,0,0,1,1,0,2,Men,NA
Seiko,General,Black,,,,,,4.375,https://www.macys.com/shop/product/seiko-mens-solar-analog-digital-prospex-silicone-strap-watch-47.8mm?ID=11437093&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Club Room,Casual Button-Down Shirts,White Pure,Billowing Cloud,Catalina Green,Navy Blue,Juicy Guava,Spa Retreat,4.1667,https://www.macys.com/shop/product/club-room-mens-linen-shirt-created-for-macys?ID=12576108&CategoryID=197651,38.92,10,10,3,0,10,10,53,Men,Reasonable
A|X Armani Exchange,General,Black,,,,,,0,https://www.macys.com/shop/product/ax-mens-black-stainless-steel-bracelet-watch-45mm?ID=11718685&CategoryID=197651,123.75,0,0,0,0,0,0,0,Men,Expensive
Michael Kors,General,Multicolor,,,,,,5,https://www.macys.com/shop/product/michael-kors-mens-layton-black-silicone-strap-watch-44mm?ID=12131039&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
A|X Armani Exchange,General,Black,,,,,,5,https://www.macys.com/shop/product/mens-black-stainless-steel-bracelet-watch-44mm?ID=6977293&CategoryID=197651,95.63,0,0,0,0,0,0,0,Men,Reasonable
COACH,General,Silver,,,,,,3.5,https://www.macys.com/shop/product/coach-mens-charles-stainless-steel-mesh-bracelet-watch-36mm?ID=6710764&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Calvin Klein,Coats & Jackets,White,,,,,,2.75,https://www.macys.com/shop/product/calvin-klein-mens-hooded-packable-down-jacket-created-for-macys?ID=13692709&CategoryID=197651,110.25,0,0,0,0,0,0,0,Men,Expensive
Lauren Ralph Lauren,Blazers & Sport Coats,Red,Navy,Tan,Light Blue,,,3.9444,https://www.macys.com/shop/product/lauren-ralph-lauren-mens-ultraflex-classic-fit-linen-sport-coats?ID=7989049&CategoryID=197651,69.99,136,6,11,9,0,0,162,Men,Reasonable
Weatherproof Vintage,T-Shirts,Black Heather,Blue Heather,Maritime Blue,Light Gray Heather,White,Black,4.5741,https://www.macys.com/shop/product/mens-long-sleeve-brushed-jersey-henley-t-shirt?ID=4897146&CategoryID=197651,31.5,10,9,10,10,10,10,95,Men,Reasonable
Ray-Ban,Sunglasses,Gold/Green,Black/Grey,"Gold, Green","Gold, Brown",Gold/Grey,,4.6021,https://www.macys.com/shop/product/ray-ban-sunglasses-rb3025-58-aviator-classic?ID=617023&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
BVLGARI,Sunglasses,BLACK / GREY GRADIENT,,,,,,0,https://www.macys.com/shop/product/bvlgari-sunglasses-bv8207b-53?ID=6587043&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Macy's,Bracelets,Yellow Gold,Silver,Rose Gold,,,,4.3733,https://www.macys.com/shop/product/polished-smooth-bangle-bracelet-in-metallic-yellow-ion-plated-stainless-steel-rose-ion-plated-stainless-steel-or-stainless-steel?ID=3748380&CategoryID=197651,48.13,0,0,0,0,0,0,0,Men,Reasonable
Puma,Finish Line Men's Shoes,Black,,,,,,4.3462,https://www.macys.com/shop/product/puma-mens-enzo-2-running-sneakers-from-finish-line?ID=11575416&CategoryID=197651,NA,66,0,0,0,0,0,66,Men,NA
Polo Ralph Lauren,Casual Button-Down Shirts,Deckwash White,Light Navy,Starboard Red,,,,0,https://www.macys.com/shop/product/polo-ralph-lauren-mens-cotton-pique-henley-shirt?ID=13350192&CategoryID=197651,59.62,3,13,13,0,0,0,29,Men,Reasonable
Cubavera,Casual Button-Down Shirts,Bright White,Jet Black,Cashmere Blue,Ensign Blue,,,0,https://www.macys.com/shop/product/cubavera-mens-big-tall-short-sleeve-4-pocket-100-linen-guayabera-shirt?ID=12583709&CategoryID=197651,70,15,8,15,15,0,0,53,Men,Reasonable
Kenneth Cole Reaction,Shoes,Black,Cognac,,,,,4.4167,https://www.macys.com/shop/product/kenneth-cole-reaction-mens-kylar-oxfords?ID=10124334&CategoryID=197651,54.88,55,55,0,0,0,0,110,Men,Reasonable
Versus Versace,General,Gold,,,,,,0,https://www.macys.com/shop/product/versus-by-versace-mens-runyon-gold-tone-stainless-steel-bracelet-watch-44mm?ID=13590620&CategoryID=197651,157.5,0,0,0,0,0,0,0,Men,Expensive
Cubavera,Pants,Bright White,Khaki,,,,,4.2571,https://www.macys.com/shop/product/cubavera-flat-front-easy-care-linen-pants?ID=2564617&CategoryID=197651,50.4,36,66,0,0,0,0,102,Men,Reasonable
BOSS,Jewelry & Watches,Gray,,,,,,3,https://www.macys.com/shop/product/boss-hugo-boss-mens-chronograph-jet-stainless-steel-mesh-bracelet-watch-41mm?ID=2941440&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Nautica,Swimwear,Navy,White,Red,Blazing Yellow,Reel Aqua,Blue Coral,4.1818,https://www.macys.com/shop/product/nautica-mens-quick-dry-anchor-print-8-swim-trunks?ID=7723999&CategoryID=197651,31.23,21,20,20,20,20,20,141,Men,Reasonable
A|X Armani Exchange,General,Gunmetal,,,,,,5,https://www.macys.com/shop/product/ax-armani-exchange-mens-gunmetal-tone-stainless-steel-bracelet-watch-46mm-ax2194?ID=3323266&CategoryID=197651,101.25,0,0,0,0,0,0,0,Men,Expensive
Macy's,Jewelry & Watches,Silver,,,,,,4.5625,https://www.macys.com/shop/product/mens-blue-topaz-5-ct.-t.w.-diamond-accent-ring-in-sterling-silver?ID=2194460&CategoryID=197651,250.25,0,0,0,0,0,0,0,Men,Expensive
Weatherproof Vintage,T-Shirts,Oatmeal,Kalamata,Dark Navy Heather,Red Mahogany,Adobe,,0,https://www.macys.com/shop/product/weatherproof-vintage-mens-long-sleeved-waffle-crew-neck-t-shirt?ID=14548444&CategoryID=197651,35,10,10,10,10,10,0,50,Men,Reasonable
The North Face,Shorts,Banff Blue,Horizon Red,,,,,5,https://www.macys.com/shop/product/the-north-facemens-never-stop-short?ID=12830550&CategoryID=197651,NA,10,6,0,0,0,0,16,Men,NA
DEER STAGS,Shoes,Black,Dark Brown,,,,,4.8889,https://www.macys.com/shop/product/deer-stags-mens-bamboo-inspired-fisherman-sandal?ID=11332757&CategoryID=197651,59.85,45,98,0,0,0,0,143,Men,Reasonable
Stacy Adams,Shoes,Black Crazy Horse,Brown Multi,,,,,4.5,https://www.macys.com/shop/product/stacy-adams-mens-ozzie-wingtip-lace-up-boots?ID=13294841&CategoryID=197651,99,34,36,0,0,0,0,70,Men,Reasonable
adidas,Activewear,Black/white,Stone Wash Grey/ Black/ Semi Impact Orange,,,,,4.9286,https://www.macys.com/shop/product/adidas-energy-backpack?ID=14180157&CategoryID=197651,41.25,0,0,0,0,0,0,0,Men,Reasonable
Dockers,Shoes,Black,Tan,,,,,4.697,https://www.macys.com/shop/product/dockers-mens-perspective-oxford?ID=521751&CategoryID=197651,53.55,276,66,0,0,0,0,342,Men,Reasonable
COACH,General,Black,,,,,,0,https://www.macys.com/shop/product/coach-mens-charles-black-leather-strap-watch-41mm?ID=11624244&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Dockers,Shoes,Black,Cordovan,,,,,4.6841,https://www.macys.com/shop/product/dockers-mens-gordon-cap-toe-oxford?ID=521750&CategoryID=197651,47.25,353,328,0,0,0,0,681,Men,Reasonable
GUESS,General,White,,,,,,0,https://www.macys.com/shop/product/guess-mens-white-leather-silicone-strap-watch-43mm?ID=13570040&CategoryID=197651,84.38,0,0,0,0,0,0,0,Men,Reasonable
Nautica,Pants,Black,Mid Gray,Blue,Camel,Light pastel grey,,4.4286,https://www.macys.com/shop/product/nautica-mens-performance-stretch-dress-pants?ID=13396892&CategoryID=197651,29.99,120,243,89,224,142,0,818,Men,Reasonable
Nautica,Shoes,Black,Brown,Tan,,,,0,https://www.macys.com/shop/product/nautica-mens-largo-chukka-boots?ID=14124403&CategoryID=197651,55.99,45,45,45,0,0,0,135,Men,Reasonable
Versace,Sunglasses,PALE GOLD/DARK BLUE,,,,,,4.2,https://www.macys.com/shop/product/versace-womens-sunglasses-ve2230b-45?ID=12390400&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Diesel,General,Silver-Tone,,,,,,5,https://www.macys.com/shop/product/diesel-mens-mega-chief-silver-tone-stainless-steel-chronograph-bracelet-watch-51mm?ID=12208483&CategoryID=197651,135,0,0,0,0,0,0,0,Men,Expensive
GUESS,Coats & Jackets,Black,Navy,Yellow,Smoke,White,Olive,4.3913,https://www.macys.com/shop/product/guess-mens-hooded-puffer-coat?ID=4964022&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zBROWSE_ZONE_C~xcm_choiceId~zcidMDKMXU-90281777-bb9f-49aa-80da-1e502a37371f%40HC3%40Our%2Btop%2Bdeals%2B%2526%2Bpicks%24197651%244964022~xcm_pos~zPos6~xcm_srcCatID~z3763,110.25,10,10,10,4,10,10,101,Men,Expensive
Calvin Klein,Suits & Tuxedos,Black,Navy,Charcoal,Blue,Light Grey,,4.5563,https://www.macys.com/shop/product/calvin-klein-mens-infinite-stretch-solid-slim-fit-suit-jacket?ID=2324421&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zBROWSE_ZONE_C~xcm_choiceId~zcidMDKMXU-90281777-bb9f-49aa-80da-1e502a37371f%40HC3%40Our%2Btop%2Bdeals%2B%2526%2Bpicks%24197651%242324421~xcm_pos~zPos5~xcm_srcCatID~z17788,225,190,190,268,222,153,0,1023,Men,Expensive
Kenneth Cole Reaction,Pants,Black,Charcoal,Blue,Grey,Oatmeal,,4.2162,https://www.macys.com/shop/product/kenneth-cole-reaction-mens-gabardine-skinny-extra-slim-fit-performance-stretch-flat-front-dress-pants?ID=8925119&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zBROWSE_ZONE_C~xcm_choiceId~zcidMDKMXU-90281777-bb9f-49aa-80da-1e502a37371f%40HC3%40Our%2Btop%2Bdeals%2B%2526%2Bpicks%24197651%248925119~xcm_pos~zPos1~xcm_srcCatID~z89,44.99,253,212,226,226,45,0,962,Men,Reasonable
adidas,Finish Line Men's Shoes,Footwear White,,,,,,4.6808,https://www.macys.com/shop/product/adidas-originals-mens-nmd-r1-primeblue-casual-sneakers-from-finish-line?ID=11879143&CategoryID=197651,NA,28,0,0,0,0,0,28,Men,NA
Macy's,Jewelry & Watches,Silver,,,,,,0,https://www.macys.com/shop/product/mens-diamond-cross-small-huggie-hoop-earrings-1-20-ct.-t.w.-in-sterling-silver-0.63?ID=14393071&CategoryID=197651,67.38,0,0,0,0,0,0,0,Men,Reasonable
Cubavera,Casual Button-Down Shirts,Bright White,Cashmere Blue,Jet Black,Ensign Blue,,,4.6462,https://www.macys.com/shop/product/cubavera-short-sleeve-4-pocket-100-linen-guayabera-shirt?ID=2131097&CategoryID=197651,58.8,10,10,10,10,0,0,40,Men,Reasonable
Calvin Klein,Pants,Black,Charcoal,Medium Grey,Navy,Blue,,4.3315,https://www.macys.com/shop/product/calvin-klein-mens-slim-fit-dress-pants?ID=2482091&CategoryID=197651,44.99,307,401,493,245,230,0,1676,Men,Reasonable
The North Face,"Hats, Gloves & Scarves",Tin Grey,,,,,,4.798,https://www.macys.com/shop/product/the-north-face-mens-horizon-breeze-brimmer-hat?ID=12838186&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
PGA TOUR,Coats & Jackets,Dark Grey Heather,Light Green Heather,Caviar Heather,Light Teal Heather,Carnation Heather,Peacoat Heather,4.75,https://www.macys.com/shop/product/pga-tour-mens-sun-shade-stretch-quarter-zip-golf-striped-pullover?ID=12872237&CategoryID=197651,NA,6,10,10,9,10,2,47,Men,NA
Polo Ralph Lauren,Hoodies & Sweatshirts,White Active Bear,,,,,,0,https://www.macys.com/shop/product/polo-ralph-lauren-mens-polo-bear-fleece-hoodie?ID=13359405&CategoryID=197651,141,15,0,0,0,0,0,15,Men,Expensive
Tissot,Jewelry & Watches,No Color,,,,,,5,https://www.macys.com/shop/product/tissot-mens-swiss-t-classic-tradition-5.5-gray-stainless-steel-bracelet-watch-39mm?ID=6826614&CategoryID=197651,270.94,0,0,0,0,0,0,0,Men,Expensive
Cole Haan,Shoes,"Gray, Tan","Navy, Tan",,,,,0,https://www.macys.com/shop/product/cole-haan-mens-nantucket-2.0-penny-loafers?ID=12171842&CategoryID=197651,117,125,120,0,0,0,0,245,Men,Expensive
Levi's,Jeans,Its 5Ocloc,So Lonesom,On That Mountain,Mountain Rain,Knees Deep,,4.124,https://www.macys.com/shop/product/levis-western-fit-stretch-cowboy-jeans?ID=11374876&CategoryID=197651,41.84,312,328,215,78,321,0,1254,Men,Reasonable
Easy Spirit,Shoes,Black,White,Dark Blue,Medium Blue,,,5,https://www.macys.com/shop/product/easy-spirit-mens-jump-emove-walking-sneakers?ID=14362758&CategoryID=197651,69.3,153,153,153,153,0,0,612,Men,Reasonable
Nunn Bush,Shoes,Black,Brown,Brown Multi,,,,5,https://www.macys.com/shop/product/nunn-bush-mens-bay-ridge-plain-toe-lightweight-oxford?ID=12205067&CategoryID=197651,74.99,230,210,198,0,0,0,638,Men,Reasonable
Fitbit,General,Copper Rose,,,,,,3.5867,https://www.macys.com/shop/product/fitbit-versa-2-rose-elastomer-strap-touchscreen-smart-watch-39mm?ID=10130332&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
