"answeredQuestions","asin","brand","breadCrumbs","delivery","description","fastestDelivery","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","inStock","listPrice","listPrice/currency","listPrice/value","price","price/currency","price/value","priceVariants","returnPolicy","reviewsCount","reviewsLink","savedPrice","shippingPrice","stars","support","thumbnailImage","title","url","variantAsins/0","variantAsins/1","variantAsins/2","variantAsins/3","variantAsins/4","variantAsins/5","variantAsins/6","variantAsins/7","variantAsins/8","variantAsins/9","variantAsins/10","variantAsins/11","variantAsins/12","variantAsins/13","variantAsins/14","variantAsins/15","variantAsins/16","variantAsins/17","variantAsins/18","variantAsins/19","variantAsins/20","variantAsins/21","variantAsins/22","variantAsins/23","variantAsins/24","variantAsins/25","variantAsins/26","variantAsins/27","variantAsins/28","variantAsins/29","variantAsins/30","variantAsins/31","variantAsins/32","variantAsins/33","variantAsins/34","variantAsins/35","variantAsins/36","variantAsins/37","variantAsins/38","variantAsins/39","variantAsins/40","variantAsins/41","variantAsins/42","variantAsins/43","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"8","B00IKGIMVU","Carhartt","Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Shirts",,,,,,,,,,,,,,,,"true",,"$","69.99",,"$","133.74",,,"768","/Carhartt-Resistant-Cotton-Sleeve-T-Shirt/product-reviews/B00IKGIMVU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/51oQq7aKaSL.__AC_SY445_SX342_QL70_ML2_.jpg","Carhartt Men's Flame Resistant Force Cotton Long Sleeve T-Shirt","https://www.amazon.com/dp/B00IKGIMVU","B009VZDBZG","B00TEQ7KJK","B01EM628P2","B0069RYLCQ","B00AAXYYLS","B00B4RN2MG","B009VZEEQG","B009VZE4KC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Dark Navy",,
"7","B00Q4ZO8TE","Volcom","Clothing, Shoes & Jewelry › Men › Clothing › Shirts",,,,,,,,,,,,,,,,"true",,"$","37.02",,"$","62",,,"995","/Volcom-Everett-Oxford-Short-Sleeve/product-reviews/B00Q4ZO8TE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/51J3xElzbML.__AC_SY445_SX342_QL70_FMwebp_.jpg","Volcom Men's Everett Oxford Short Sleeve Shirt","https://www.amazon.com/dp/B00Q4ZO8TE","B09MSTTDVM","B0B1T6NXP6","B077JJ8MMS","B0711Z8Y96","B071FH92F3","B09MSTN4R8","B093TJYF2P","B082X1VMS3","B07VT4H4NG","B07Y5S7SX5","B09F87QV6S","B07Y5SPXWY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","New Black",,
"19","B07RHQ15R1","Van Heusen","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Dress Shirts",,"Van Heusen regular fit flex collar stretch fabric long sleeve dress shirt.",,"55% Cotton, 44% Polyester, 1% Spandex","Imported","Button closure","Machine Wash","Flex collar: stretches up to half an inch for expandable comfort. Stretch fabric: stretches and moves with you for extra comfort. Wrinkle free: developed for less wrinkles and easy care.","Regular fit: a generous cut through the shoulders, chest and waist for total comfort and a classic fit","Spread collar: modern traditional collar with the tips pointed outwards, allowing for tie knots of all sizes; can be worn with or without neckwear","Adjustable cuff: two button positions allow for a more customized, improved fit","Chest pocket: classic design holds all your essentials",,,,"true",,"$","24.75",,"$","79.58",,,"4890","/Van-Heusen-Regular-Collar-Stretch/product-reviews/B07RHQ15R1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/61zMwXh0DgL.__AC_SX342_SY445_QL70_FMwebp_.jpg","Van Heusen Men's Dress Shirt Regular Fit Flex Collar Stretch Solid","https://www.amazon.com/dp/B07RHQ15R1","B07KBB3FHP","B07MLT6DZ7","B07RLXJ8WZ","B07RJTC291","B07LBG1BZ5","B07KB4Y55V","B07MFFQTPM","B07RHPYJQS","B07MFDSZH1","B0979JMNRT","B08G9WWYHM","B07MFFQW9F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"100","B0B6GPNH95","Columbia","Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",,"Columbia's PFG line is loved by everyone, but specifically designed with anglers in mind. Its comfort and functionality make this Columbia Men's PFG Bahama II Long Sleeve Shirt a first choice for enjoying a day out on the water and in the sun. The high quality materials used to craft this men's fishing shirt are what make it so special, while its modern classic fit speak to style and comfort. The Bahama II Long Sleeve fishing shirt features some of Columbia's best sun protection technology to help prevent skin damage while outdoors. The fabric is crafted of UPF 30 to protect against harmful UVA and UVB rays, sunburns, and long-term skin damage. The mesh-lined back vents add breathability to the shirt to ensure comfort even when things get hot; the 100% nylon fabric is lightweight and dries quickly to keep you cool. Lastly, this long sleeve shirt's utility features make fishing life a little easier with a rod holder, multiple low-profile pockets, and adjustable roll-up sleeves. Columbia's long sleeve fishing shirt comes in many size categories and colors as well. To ensure the size you choose is right, utilize our sizing chart and the following measurement instructions: For the sleeves, start at the center back of your neck and measure across the shoulder and down to the sleeve. If you come up with a partial number, round up to the next even number. For the chest, measure at the fullest part of the chest, under the armpits and over the shoulder blades, keeping the tape measure firm and level.",,"100% Nylon","Imported","SUN PROTECTION: Columbia Men's PFG Bahama II Long Sleeve fishing shirt features our signature UPF 30 fabric that helps to blocks UVA and UVA rays to help prevent sunburns and skin damage during long hours in the sun.","HANDY FEATURES: This long sleeve fishing shirt features two handy chest pockets with velcro closure for convenient storing and roll-up sleeves.","COMFORT & BREATHABILITY: Hidden vents at the shoulders and 100% nylon quick dry fabric make for a shirt that's breathable and comfortable during any outdoor activity.","RELAXED FIT: A relaxed, lightweight fit make this fishing shirt the ultimate choice for casual days outside as well as for activity out on the water.","OMNI-SHADE: Be safe and protected. Omni-Shade blocks UVA and UVB rays to help prevent sunburns and long-term skin damage. The tight weave construction with UV absorbent yarns block the full spectrum of harmful UV rays.",,,,,,"true",,"$","22.96",,"$","118.87",,,"7207","/Columbia-Bahama-Sleeve-Fishing-Shirt/product-reviews/B0B6GPNH95/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/61Ssk3dMRLL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Columbia Men's Bahama Ii UPF 30 Long Sleeve PFG Fishing Shirt","https://www.amazon.com/dp/B0B6GPNH95","B07J4ZTH91","B089K6VNHS","B07RDR3HRQ","B07R6Y8VVD","B07RDR3HS8","B07RCD17K1","B07RDSM1SL","B01MZ2GD1H","B01GU8NSCM","B07R6YCQ8X","B018IOLL8Y","B0026IQXX2","B089L92LMG","B000BB8P78","B01A6ZG5HA","B089K8KHSM","B072JGC8MG","B089L9962B","B07J57D4ZB","B07J5JC845","B00AB1SQKO","B00DNNOJB2","B096D4S23P","B0089PH4Z2","B08N1MFQ6G","B0089PH2KO","B077PHHB8B","B00264ZT8G","B01AAJOZH4","B089K7FX9D",,,,,,,,,,,,,,,"Color","White","Size","",,
"12","B0B47WQK6J","POLO RALPH LAUREN","Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxers",,"This three-pack features Classic Fit boxers made from lightweight cotton in a selection of classic colors.",,,,,,,,,,,,,,"true",,"$","25.43",,"$","60",,,"3764","/POLO-RALPH-LAUREN-Classic-Cotton/product-reviews/B0B47WQK6J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/81CyWXW-0QL.__AC_SX342_SY445_QL70_FMwebp_.jpg","POLO RALPH LAUREN Men's Classic Fit Cotton Woven Boxers 3-Pack","https://www.amazon.com/dp/B0B47WQK6J","B07FN3GWVV","B07FPPPDN8","B07GR24Q6B","B07GQWXK8L","B07FN1593T","B07GQWKNSM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Rimini Stripe/Cruise Navy, Muller Plaid/Cruise Navy, Cruise Navy/Sporting Royal",,
"71","B09WHCT7HP","Calvin Klein","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Dress Shirts",,"Long sleeve all cotton non iron Calvin Klein dress shirt",,"100% Cotton","Imported","Button closure","Machine Wash","Wicking: Designed to wick moisture away from the body to help you feel cool and dry. Non-Iron Fabric: Resists wrinkles to keep you looking crisp all day; easy care, no ironing necessary.","Slim Fit: Modern fit with a tapered body and slimmer sleeves for a sleek look that flatters most body shapes","Point Collar: Classic collar thought to lengthen the face & allows for tie knot variety; can be worn with or without neckwear","Adjustable Cuff: Two button positions allow for a more customized, improved fit","No Pocket: Sleek, streamlined design offers a cleaner appearance",,,,"true",,"$","40.66",,"$","159",,,"5483","/Calvin-Klein-Dress-Non-iron-Herringbone/product-reviews/B09WHCT7HP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://m.media-amazon.com/images/I/71KfwPp+eOL._AC_SX342_SY445_.jpg","Calvin Klein Men's Dress Shirt Slim Fit Non-iron Herringbone","https://www.amazon.com/dp/B09WHCT7HP","B08SR8CCCL","B01N4G12MB","B00RX4H3MO","B00Q3MXHIG","B0190UCM42","B00V4CNL7M","B00Q3MX6GE","B07KBDDP75","B01MY7VH3H","B0794F5VZ5","B00RX4I6XO","B076VWFDBH","B076VT4GJV","B07F33HJ2J","B08PPZD3KW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"21","B07Q1CWGMM","Calvin Klein","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Dress Shirts",,,,,,,,,,,,,,,,"true",,"$","39.32",,"$","104.32",,,"1365","/Calvin-Klein-Dress-Shirt-Stretch/product-reviews/B07Q1CWGMM?reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/51WCYne89XL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Calvin Klein Men's Dress Shirt Slim Fit Non Iron Stretch Solid","https://www.amazon.com/dp/B07Q1CWGMM","B07F35WHQM","B073ZMB4LL","B073ZNQBBZ","B07KB6LKRZ","B075X547X3","B0794GSLK7","B07FHDSQDV","B08G9Y8RG7","B08G9H5D7N","B07YQJJQQB","B07YQJM27X","B07MM2QCPG","B07F33HJ73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"108","B076ZVW5X1","Albert Morris","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,"The ALBERT MORRIS Collection offers the best of both worlds. This set of four polo shirts includes all the favorites from the ALBERT MORRIS Polo Collections. ALBERT MORRIS polo shirts are a must-have for any man's wardrobe; Our polo shirts are a fashion trend and they pair well with any basic, casual, office or preppy outfit. All four classic polos boast a comfortable silhouette with a traditional two-button placket, stylish short sleeves, and an embroidered emblem on the chest.ALBERT MORRIS polo shirts are built to last. Constructed from a high-tech fabric, the shirts will not fade in the wash nor shrink in the dryer. This advanced moisture wicking material with UV sun protection, helps you stay dry and fresh all-day long. Reinforced ventilation holes in the underarms offer additional temperature control. Precision stitching ensures a high-quality finish.Give your wardrobe some added charm with the BUY WITH CONFIDENCE - 100% guaranteed to fit or your money back. Albert Morris prides itself on quality, style and comfort providing you with classic style shirts you’ll be proud to wear.",,,,,,,,,,,,,,"true",,"$","24.99",,"$","59.99",,,"6473","/Albert-Morris-Striped-Sleeve-Shirts/product-reviews/B076ZVW5X1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/71tu6ABLDXL.__AC_SY445_SX342_QL70_ML2_.jpg","Albert Morris Mens Striped Short Sleeve Polo Shirts 4 Pack","https://www.amazon.com/dp/B076ZVW5X1","B07SQJPJLP","B096RF5RS6","B076963X4D","B078N643LY","B0782ZTGWB","B08M9RTL8G","B07F5P56MH","B07SLX2XP5","B077D1BQXQ","B07S79QWQ9","B08M9QG85Q","B07C7SKXKF","B08YVWYV1Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","American Classic Stripe",,
"65","B07TMZ3GX4","Three Sixty Six","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,,,,,,,,,,,,,,,"true",,"$","44.95",,"$","66.03",,,"6760","/Three-Sixty-Six-Golf-Shirts/product-reviews/B07TMZ3GX4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/81no4bDSkUL.__AC_SX342_SY445_QL70_FMwebp_.jpg","Three Sixty Six Golf Shirts for Men - Dry Fit Short-Sleeve Polo, Athletic Casual Collared T-Shirt","https://www.amazon.com/dp/B07TMZ3GX4","B07XSP59MN","B074H6LFGQ","B07WNZJ649","B08F3MWKGN","B01M23PYWF","B093QCQHGW","B07JGL66RD","B093QCJ1Z8","B07XSQLTX3","B09DKY5BQ8","B09N7BYS3G","B07WRVYFBF","B078MLMP9D","B07JFWTZ77","B09DKWLMTM","B07474H1F6","B07JG6NZ67","B078MH23YT","B07GDL7HG6","B09N7BDSQ9","B09N7C2RBG","B093QDD4DP","B08N6QVRL4","B079B7PKTT","B07XSGXNQ3","B01MF6VA1P","B06Y43W2TJ","B07XSD5RB6","B07WX6KLXQ","B079B9ZR35","B09DKZHXZ6","B07XSBYSVH","B09DKQZ6J9","B07GDKJCN4","B09N7DKW8J","B08F5GC391","B093QBMBWB","B09DKY1L6D","B08F3PL8TK","B093DD2M68",,,,,"Color","Pure Black","Size","",,
"47","B07XYR9W2V","Legendary Whitetails","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Casual Button-Down Shirts",,,,,,,,,,,,,,,,"true",,"$","24.26",,"$","79.99",,,"4691","/Legendary-Whitetails-Archer-Thermal-Flannel/product-reviews/B07XYR9W2V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/81aOfcxPSKL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Legendary Whitetails Men's Archer Thermal Lined Flannel Shirt Jacket","https://www.amazon.com/dp/B07XYR9W2V","B08P3ZKRN6","B08P3Y6M1T","B08P3W951H","B0964PPPPV","B08P3XV626","B08P3ZBY31","B08P3Y5VC3","B08P3YYKVD","B08P41GSXR","B08P416D3W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Balsam Shadow Plaid",,
"261","B09DPVPZHY","Gildan","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",,,,,,,,,,,,,,,,"true",,"$","9.1",,"$","129.16",,,"120340","/Gildan-Cotton-Sleeve-T-Shirt-Multipack/product-reviews/B09DPVPZHY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/71tMfed8nPL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Gildan Men's Ultra Cotton Long Sleeve T-Shirt, Style G2400, Multipack","https://www.amazon.com/dp/B09DPVPZHY","B096W7V18D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Number of Items","10","Color","","Size",""
"165","B09WHT2TCV","Columbia","Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › Button-Down Shirts",,,,"100% Nylon","Imported","OMNI-SHADE: UV protection at its best, Omni-Shade materials block UVA and UVB rays to help prevent sunburns and long-term skin damage. The tight weave construction offers lasting sun protection against the full spectrum of sunshine","FISH EASY: Designed specifically for anglers, this lightweight, relaxed fit, nylon shirt dries fast, keeps you cool, and protects against harmful UV light","BREEZY COOL: Mesh-lined back vents let in and out a cooling breeze—perfect in hot, humid weather","PERFORMANCE DETAILS: A rod holder provides hands-free convenience, and four chest pockets with hook-and-loop closures help store your small essentials","BUILT TO LAST: Columbia’s attention to detail is what sets our apparel apart. Specifying only the highest quality materials, expert stitching and craftsmanship. This is a long-lasting shirt you will enjoy for seasons to come",,,,,,"true",,"$","18.28",,"$","136.66",,,"18445","/Columbia-Bahama-Short-Sleeve-Fishing/product-reviews/B09WHT2TCV?reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/61DPCjxDs6S.__AC_SX300_SY300_QL70_FMwebp_.jpg","Columbia Men's Bahama II UPF 30 Short Sleeve PFG Fishing Shirt","https://www.amazon.com/dp/B09WHT2TCV","B07RDSM1K7","B089L7HFQC","B096DMH2DR","B07RCV147J","B07R96649N","B07R6YDJVC","B07RCCXV1H","B07RCTY18Z","B0B1T1KCLD","B07R965GJH","B01GU7OLFQ","B089K7SFL8","B001BJHBD8","B089K6F1LY","B0002MGM7G","B089K9H856","B07RCV14BP","B0814RC9HS","B089KB3Q9Z","B07J4ZZG85","B000BMSX3I","B00AIW73WI","B0B1S2JZD5","B096DNS5GF","B07R821VKM","B0B1L2B5ZV","B07R821FPR","B001BJFB4E","B089L82WTP","B01GU7NE7M","B077PQVV2L","B01ABW96ZG","B072FVR5TG","B077PTKFH1","B001BJFB4Y","B01ABW9FPM","B01GU7ONFE","B00C40X5XI","B0058YQQZG","B01ABW9FIY","B01ABW9L5Q","B0050VK62Q","B0050VK4LO","B002NCOBEE","Color","Collegiate Navy","Size","",,
"18","B00UD3XO5C","Hanes","Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Undershirts",,,,,,,,,,,,,,,,"true",,"$","14.65",,"$","54.98",,,"2897","/Hanes-Mens-Tall-V-Neck-T-Shirt/product-reviews/B00UD3XO5C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/71gAJzrAZUL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Hanes Men's Tall Man V-Neck T-Shirt (Pack of 3)","https://www.amazon.com/dp/B00UD3XO5C","B09QQQFX49","B09P1TBB6J","B09QQPPDCF","B09QQNRCBK","B09NMRWXDD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"55","B07YYCVCCT","Van Heusen","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Dress Shirts",,,,,,,,,,,,,,,,"true",,"$","15",,"$","68.97",,,"5696","/Van-Heusen-Sleeve-Regular-Poplin/product-reviews/B07YYCVCCT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/81xZkrSkl7L.__AC_SY445_SX342_QL70_FMwebp_.jpg","Van Heusen Men's Short Sleeve Dress Shirt Regular Fit Poplin Solid","https://www.amazon.com/dp/B07YYCVCCT","B00XJZE66W","B00HYEV7N4","B07CJVTS4B","B00BOXGITY","B00HYEUZGE","B00IODDN0Y","B07RKXWN39","B07CJVX5JY","B07CJLKB5B","B00GJB267O","B07KBCJDVC","B07KB3QK8R","B07RHPZK3R","B00HYEV504","B07P3FQXLQ","B00S81PC88","B0797CB4BC","B01N0TGXHK",,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"46","B07BHZ1748","Gildan","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",,,,,,,,,,,,,,,,"true",,"$","24.6",,"$","99.3",,,"1380","/Gildan-Mens-Ultra-Cotton-T-Shirt/product-reviews/B07BHZ1748/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/613XEnT8nSL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Gildan Men's Ultra Cotton T-Shirt","https://www.amazon.com/dp/B07BHZ1748","B00YNJEC1M","B00YNJEOTC","B00YNJHTY4","B00YNJHJBM","B00K820J56","B00YNJF31A","B00YNJFDE2","B00YNJFO78","B00YNJFYQE","B00YNJGCJC","B00YNJGMGK","B00YNJHA5C","B00YNJHJIK","B00YNJIY66","B00YNJJ6VI","B00YNJJEZG","B00YNJJMU8","B00YNJJVPO","B00YNJFQNU","B00YNJG1J8","B00YNJGBDY","B00YNJGKNK","B00YNJGV6Q","B00YNJHQGA","B00YNJHZOS","B00YNJI97U","B00YNJIJ4S","B00YNJIVF0","B00YNJJ2ZS","B00YNJJLCM","B00YNJK1RQ","B00YNJKAP4","B00YNJKIRY","B00YNJH15G","B00YNJJUK0","B00YNJI0XS","B00YNJH606","B00YNJJC0S","B00YNJJCXK","B00YNJJWO4","B00YNJJDUC",,,,"Size","","Color","Safety Orange",,
,"B09RQ2NHSP","LULY YANG","",,,,,,,,,,,,,,,,"true",,"$","16.78",,"$","167.8",,,"3",,,,"5",,"https://images-na.ssl-images-amazon.com/images/I/61eyZEhTdfL.__AC_SY445_SX342_QL70_FMwebp_.jpg","LULY YANG DSP Men's Active Polo - Short Sleeve","https://www.amazon.com/dp/B09RQ2NHSP","B09RQ3YH57","B09T96NFHS","B09T8TGW5X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Package Quantity","10","Size","",,
"28","B08XPSN1P5","Tommy Hilfiger","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Casual Button-Down Shirts",,,,,,,,,,,,,,,,"true",,"$","69.99",,"$","149",,,"2005","/Tommy-Hilfiger-Sleeve-Oxford-Button/product-reviews/B08XPSN1P5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/519R3d4BLcL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Tommy Hilfiger Men's Long Sleeve Stretch Oxford Button Down Shirt in Custom Fit","https://www.amazon.com/dp/B08XPSN1P5","B07NFSZBTB","B078YFB1HQ","B0B6Z8LCVZ","B07NFSZTQK","B0855FFRX3","B0854RP928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Tommy White",,
"66","B09M6T5QNH","Gildan","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",,"Gildan is one of the world's largest vertically integrated manufacturers of apparel and socks. Gildan uses cotton grown in the USA, which represents the best combination of quality and value for Gildan cotton and cotton blended products. Since 2009, Gildan has proudly displayed the cotton USA mark, licensed by cotton council international, on consumer's product packaging and shipping materials. Gildan environmental program accomplishes two core objectives: reduce our environmental impact and preserve the natural Resources being used in our manufacturing process. At all operating levels, Gildan is aware of the fact that we operate as a part of a greater unit: the environment in which we live and work.",,,,,,,,,,,,,,"true",,"$","8.28",,"$","54.7",,,"20607","/Gildan-mens-G500/product-reviews/B09M6T5QNH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://m.media-amazon.com/images/I/71jWVlA8u+L._AC_SY445_SX342_.jpg","Gildan Men's G500","https://www.amazon.com/dp/B09M6T5QNH","B00YNR1DQQ","B00YNQZJGC","B00YNR0YN4","B00YNR1DIY","B00YNR1MEO","B00YNQXYZ0","B00YNR0CNQ","B00YNQZO58","B00YNR01TG","B00YNR0LD2","B00YNR1762","B00YNQXP5E","B00YNQY5YO","B00YNQYRMO","B00YNQZQLA","B00YNR0NM6","B00YNQY0JE","B00K825JLK","B00YNQYY7M","B00YNR0FT2","B00YNQZ10Q","B00YNR0HOK","B00YNR0VD2","B07CX29FLX","B00YNQY5WQ","B00YNQYQ2A","B00YNQZCR8","B00YNR07UO","B00YNR0U1K","B00YNQYL52","B00YNQZ4C6","B00YNQZISQ","B00YNQZWNM","B00YNR03GW","B00YNR05EC","B011QQE1HE",,,,,,,,,"Size","","Color","White (12-pack)",,
"155","B08ZRX3WQX","Van Heusen","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Dress Shirts",,,,,,,,,,,,,,,,"true",,"$","17.75",,"$","93.47",,,"27654","/Van-Heusen-Dress-Regular-Poplin/product-reviews/B08ZRX3WQX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/31Jti0pl-cL.__AC_SY445_SX342_QL70_ML2_.jpg","Van Heusen Men's Dress Shirt Regular Fit Poplin Solid","https://www.amazon.com/dp/B08ZRX3WQX","B00AJOU2BY","B00AJOUQI8","B06XW4FYQK","B06XW4BZC9","B06XXJ2ZJ5","B06XXFSV42","B06XXK41V2","B06XXHN5M9","B07F39C8RB","B07F3DKVMC","B07F382YB9","B07F3DLRGR","B07F3PS79Z","B07F3DLH8G","B07F3CYDKX","B07F3CZ35X","B07F3F81BM","B009ESZFG8","B06XWJ8XMP","B07F3F87L4","B076VT4P5C","B07F3DLQX9","B076VT4P6N",,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Cameo Blue",,
"281","B09DPSCNSY","Gildan","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",,,,,,,,,,,,,,,,"true",,"$","8.25",,"$","96.34",,,"76099","/Gildan-Cotton-T-Shirt-G2000-Multipack/product-reviews/B09DPSCNSY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/61-U978JDcL.__AC_SY445_SX342_QL70_ML2_.jpg","Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack","https://www.amazon.com/dp/B09DPSCNSY","B096W7MM53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Number of Items","10","Color","","Size",""
"50","B0B6DPK2G3","Lacoste","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,,,,,,,,,,,,,,,"true",,"$","38.62",,"$","142.5",,,"3154","/Lacoste-Classic-Short-Sleeve-L-12-12/product-reviews/B0B6DPK2G3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/71ZD4WvyfBL.__AC_SX342_SY445_QL70_FMwebp_.jpg","Lacoste Men's Classic Short Sleeve Piqué L.12.12 Polo Shirt","https://www.amazon.com/dp/B0B6DPK2G3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","",,
