"answeredQuestions","asin","brand","breadCrumbs","delivery","description","fastestDelivery","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","inStock","listPrice","listPrice/currency","listPrice/value","price","price/currency","price/value","priceVariants","returnPolicy","reviewsCount","reviewsLink","savedPrice","shippingPrice","stars","support","thumbnailImage","title","url","variantAsins/0","variantAsins/1","variantAsins/2","variantAsins/3","variantAsins/4","variantAsins/5","variantAsins/6","variantAsins/7","variantAsins/8","variantAsins/9","variantAsins/10","variantAsins/11","variantAsins/12","variantAsins/13","variantAsins/14","variantAsins/15","variantAsins/16","variantAsins/17","variantAsins/18","variantAsins/19","variantAsins/20","variantAsins/21","variantAsins/22","variantAsins/23","variantAsins/24","variantAsins/25","variantAsins/26","variantAsins/27","variantAsins/28","variantAsins/29","variantAsins/30","variantAsins/31","variantAsins/32","variantAsins/33","variantAsins/34","variantAsins/35","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"16","B088K5G2WF","EI Sonador","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","35.99",,"$","44.99",,,"1285","/Classic-Breathable-Waterproof-Hooded-Jacket/product-reviews/B088K5G2WF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/71SzF57FQML.__AC_SY445_SX342_QL70_FMwebp_.jpg","Classic Rain Suits for Men Breathable Rain Gear for Waterproof work, Hooded Coats Jacket and Pants","https://www.amazon.com/dp/B088K5G2WF","B08KXSGR62","B08ZSG84KT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black & Yellow","Size","",,
"81","B00IKGJ74Q","Carhartt","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Active & Performance › Insulated",,,,,,,,,,,,,,,,,,,"true",,"$","169.99",,"$","196.86",,,"1796","/Carhartt-Visibility-Waterproof-Insulated-Sherwood/product-reviews/B00IKGJ74Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.8",,"https://images-na.ssl-images-amazon.com/images/I/712hzvl7gDL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Carhartt Men's High Visibility Waterproof Class 3 Insulated Sherwood Jacket","https://www.amazon.com/dp/B00IKGJ74Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Brite Lime",,
"44","B07VNFJDPJ","TACVASEN","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets",,,,,,,,,,,,,,,,,,,"true",,"$","46.98",,"$","46.99",,,"4216","/TACVASEN-Jackets-Windproof-Flight-Bomber-Outwear/product-reviews/B07VNFJDPJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/610DOILk1jL.__AC_SY445_SX342_QL70_FMwebp_.jpg","TACVASEN Men's Jackets-Windproof Bomber Jacket Full Zip Winter Warm Padded Coats Outwear","https://www.amazon.com/dp/B07VNFJDPJ","B07VPHMBZD","B0BFRGD9WD","B0B2DKDX2W","B0B56F8MT4","B0B56D1T22","B0BFRD3CN5","B0B2DLMLVQ","B0B56FC2HC","B07VMFKT23","B07VQFBHW1","B0BFS4KN34","B08FSWM1ZP","B0B45HKG2H","B0B2DKTQX4","B07VPFWGQZ","B0B2DMJQLH","B0B45DVCQL","B08CRP2GV7","B0BFRHF2WY","B0B2DMCHFF","B0B2DKWFYC","B07VNFHXNY",,,,,,,,,,,,,,,"Color","Black","Size","",,
"36","B086DM6YT3","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","21.99",,"$","36.99",,,"3420","/Hooded-Safety-Waterproof-Emergency-Raincoat/product-reviews/B086DM6YT3?reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/51PVujKK6UL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Mens Long Hooded Safety Rain Jacket Waterproof Emergency Raincoat Poncho","https://www.amazon.com/dp/B086DM6YT3","B01JIVDZ4O","B082KKQ15D","B082KDNC7R","B07GWJ4C6V","B01B5TYF7I","B082KDM2S7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"56","B09YRJHG6M","iCreek","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Active & Performance › Shells",,,,,,,,,,,,,,,,,,,"true",,"$","42.99",,"$","79.99",,,"2235","/iCreek-Trouser-Raincoat-Waterproof-Anti-Storm/product-reviews/B09YRJHG6M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/51IccjSdbQS.__AC_SY445_SX342_QL70_FMwebp_.jpg","iCreek Rain Suit Jacket & Trouser Suit Raincoat Unisex Outdoor Waterproof Anti-Storm","https://www.amazon.com/dp/B09YRJHG6M","B09TQX28HB","B083NML4TN","B083NDSW6T","B083NDW8L4","B083NRBHYX","B083NS9BTB","B083NG8SMX","B083MZBBDV","B083NPZFRG","B08NWRNGJV","B08NWMJFRD",,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"18","B08FBW4HN3","","",,,,,,,,,,,,,,,,,,,"true",,"$","29.99",,"$","39.99",,,"622","/33-000ft-Lightweight-Waterproof-Windbreaker/product-reviews/B08FBW4HN3?reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/61ifXFDOgGL.__AC_SY445_SX342_QL70_FMwebp_.jpg","33,000ft Packable Rain Jacket Men's Lightweight Waterproof Rain Shell Jacket Raincoat with Hood for Golf Cycling Windbreaker","https://www.amazon.com/dp/B08FBW4HN3","B08FBX7S8M","B094NGPYSM","B08FBW7RZ9","B08FBXK61V","B094NFT8NN","B09P86TMXV","B09P19YRRW","B0948VB3RP","B08FBVNWC8","B0948VCW2Z","B094NFZGTC","B0948TXDGM",,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"60","B08VS96T8Y","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Active & Performance › Shells",,,,,,,,,,,,,,,,,,,"true",,,,,"$","37.6",,,"2983","/Amazon-Essentials-Water-Resistant-Softshell-Jacket/product-reviews/B08VS96T8Y?reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/71P5J5OuGqL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Amazon Essentials Men's Water-Resistant Softshell Jacket","https://www.amazon.com/dp/B08VS96T8Y","B06XWP57CP","B06XWMXHM4","B08J94V89X","B08J937MKQ","B06XWLT4JR","B08J946MQ2","B08J947PWT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
"83","B088XZH4GT","Signature by Levi Strauss & Co. Gold Label","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets › Denim",,"A Signature by Levi Strauss & Co.™ Men’s Trucker Jacket offers incredible trend-proof style with a classic fit yet modern look, no matter what season or occasion. Premium flex denim gives all day comfort for a relaxed or polished look. The Signature by Levi Strauss & Co.™ Men’s Trucker is an instant-cool layering piece for every guy.",,,,,,,,,,,,,,,,,"true",,"$","28.65",,"$","42.95",,,"9399","/Signature-Levi-Strauss-Gold-Label/product-reviews/B088XZH4GT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/61YJOYMgInL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Signature by Levi Strauss & Co. Gold Label Men's Signature Trucker Jacket","https://www.amazon.com/dp/B088XZH4GT","B09JZ2LN26","B07NRTKVMQ","B07XTZXNLT","B08KTSP3TM","B087YRXCZ3","B07D1P1WP8","B08KTSQ8R1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Johnny-waterless",,
"18","B07RZY5TVQ","Lavnis","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets › Windbreakers",,,,"100% Polyester","Imported","Zipper closure","Machine Wash","Lightweight bomber jacket men flight jacket varsity windbreaker jacket autumn light casual sportswear windproof baseball jacket coat","Breathable windbreaker casual light golf jacket with ribbed knit cuffs and hem,baseball collar, front zip-up on the left side, functional pocket and inside pocket,fully lined provides soft-wearing comforts","Sizes:There are many sizes of this fashion letterman jacket for men to choose:Small, Medium,Large,X-Large,XX-Large;For baggy or tight fitting, please check the ""Lavnis Size Chart"" and product description clearly before purchase it","This elegant reversible style varsity bomber jacket is suitable for varies occasions such as business work, interview, party, golf, daily casual life etc. Suitable for both young men and elder men. Moderate thickness for spring summer and autumn wear","Washing&care:Machine wash/Hand wash",,,,,,,"true",,"$","31.99",,"$","32.99",,,"2795","/Lavnis-Lightweight-Softshell-Sportwear-Windbreaker/product-reviews/B07RZY5TVQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.2",,"https://m.media-amazon.com/images/I/51uz+ezxZIL._AC_SX342_SY445_.jpg","Lavnis Men's Lightweight Softshell Coat Sportwear Zipper Windbreaker Flight Bomber Jacket","https://www.amazon.com/dp/B07RZY5TVQ","B07S5R4STR","B07S1ZHMRG","B07S5QSY6J","B07VQXCZJ6","B07VQX94V2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Khaki",,
"33","B08FM3LM78","TBMPOY","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets › Windbreakers",,,,"100% Polyester","Material: high-quality breathable Polyester shell","Lightweight and windproof fabric provides excellent protection against wind and sun","Designed with high collar and full-zip front, which makes it more well-fitting","2 big hand pockets, 1 zippered pocket and one cargo pocket on sleeve, 1 zipper inner poakct","TBMPOY Mens Windbreaker Jaclets Ideal for all outdoor & indoor activiyies: Runningm, Hiking, Camping, Traveling, Fishing, even daily wear",,,,,,,,,,"true",,"$","35.99",,"$","36.99",,,"2335","/TBMPOY-Windproof-Lightweight-Breathable-Windbreaker/product-reviews/B08FM3LM78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.3",,"https://images-na.ssl-images-amazon.com/images/I/61aK5WXwBCL.__AC_SY445_SX342_QL70_ML2_.jpg","TBMPOY Men's Windproof Bomber Jackets Lightweight Running Windbreaker Outdoor Golf Fashion Coat","https://www.amazon.com/dp/B08FM3LM78","B08FL5Z8CR","B09RDQSM35","B09RFHVKS8","B08FM6ZLL2","B08FMFBYMQ","B08FMFD1Q5","B09BHW55XT","B09BHTWLBF","B09RFWSYLH",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","1-black",,
"23","B08FB3ZMJC","MOERDENG","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","33.99",,"$","39.99",,,"2092","/Lightweight-Windbreaker-Jacket-Waterproof-Breathable/product-reviews/B08FB3ZMJC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/71IBANEkkeL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Men's Waterproof Rain Jacket Outdoor Lightweight Softshell Raincoat for Hiking Travel","https://www.amazon.com/dp/B08FB3ZMJC","B0982MZH29","B0B461F3XQ","B0982NHBZM","B0982MPLWL","B0B464BR6W","B0982NVZRY","B09GM66T4V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black-01","Size","",,
"86","B0898JB22G","Weatherproof","Clothing, Shoes & Jewelry › Sport Specific Clothing › Golf › Men",,,,,,,,,,,,,,,,,,,"true",,"$","39.58",,"$","76",,,"3010","/Weatherproof-Original-Jacket-Windbreaker-Classic/product-reviews/B0898JB22G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/61ipDH0Q9AL.__AC_SX342_SY445_QL70_FMwebp_.jpg","Weatherproof Original Mens Golf Jacket (Mens Windbreaker) Classic Mens Light Jacket","https://www.amazon.com/dp/B0898JB22G","B088NLSD59","B088NM47BN","B0009KN2CE","B088NHW6R8","B087GFKHP5","B08JZF6XBL","B07FFL1T69","B08JZFYMJ7","B08JZHDSH1","B087G4LGHX","B087GS6QZZ","B08HG9WXCS","B087GVNCHW","B07FFJ9K62","B075FBX64V","B087G6YBC4","B079J4YGGL","B07VFB67VM",,,,,,,,,,,,,,,,,,,"Size","","Color","Fog",,
"233","B081YVDT55","ORORO","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Vests",,,,,,,,,,,,,,,,,,,"true",,"$","139.99",,"$","149.99",,,"8189","/ORORO-Mens-Lightweight-Heated-Battery/product-reviews/B081YVDT55/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/61BGg40LqIL.__AC_SY445_SX342_QL70_ML2_.jpg","ORORO Men's Lightweight Heated Vest with Battery Pack","https://www.amazon.com/dp/B081YVDT55","B07SN1YB6D","B09GLWK2ZB","B08L88GPYW","B09C1SMCK7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
"524","B09342L4XK","FROGG TOGGS","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","20",,"$","114.98",,,"18298","/FROGG-TOGGS-All-Sport-Waterproof-Breathable/product-reviews/B09342L4XK?reviewerType=all_reviews",,,"4.2",,"https://images-na.ssl-images-amazon.com/images/I/81jjczLewkL.__AC_SY445_SX342_QL70_FMwebp_.jpg","FROGG TOGGS Men's Classic All-Sport Waterproof Breathable Rain Suit","https://www.amazon.com/dp/B09342L4XK","B08QDLSHGW","B00MW4775I","B07KWFF81G","B00EIP3GQS","B091YQQN1L","B01MQHD24D","B07VWBTTCX","B005KW5NDW","B0052WTQR4","B085CNQTFP","B07KBDGNJN","B07KCN1JS6","B015SWIKWE","B093X6J8DJ","B07RNBT3BW","B07VYDXB7R","B07W1L8P5Q","B093TSNLD1","B07Q77SHR6","B07Q63HJQS","B09NLHMBXF","B00CJJ82CI","B085CP2VQ7",,,,,,,,,,,,,,"Color","Black Jacket/Black Pants","Size","",,
,"B08M8RV11L","adidas","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Fleece",,,,"53% Cotton, 36% Polyester, 11% Viscose","Imported","Zipper closure","Machine Wash","Men's zip hoodie made for casual, sporty wear","Regular fit for easy everyday wear","Full zip with drawcord-adjustable hood offers snug comfort","Kangaroo pockets keeps small items within easy reach",,,,,,,,"true",,"$","17.8",,"$","74.99",,,"222","/adidas-Essentials-French-3-Stripes-Full-Zip/product-reviews/B08M8RV11L?reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/51GwhEEzagL.__AC_SY445_SX342_QL70_FMwebp_.jpg","adidas Men's Essentials French Terry 3-Stripes Full-Zip Hoodie","https://www.amazon.com/dp/B08M8RV11L","B08M6HCM9X","B08M83NZYP","B08M862SGP","B091KH4T53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Legend Ink/White",,
"7","B086M7Y8PQ","L-Rain","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats",,,,"TOP GRADE TPU","Button closure","Food grade TPU instead of cheap EVA or PVC","Eco - friendly TPU material has good performance in elasticity , anti-aging. Non-toxic, No Smell and Harmless.","Quick-drying, reusable, durable, tear resistant, waterproof and breathable.","Foldable in small size, much more portable and lightweight, keep it in the backpack/ house/ office or car for emergency.","Stylish design to make you more eye-catching in rainy days.",,,,,,,,,"true",,"$","34.5",,"$","35.99",,,"340","/L-Rain-Durable-Clear-Rain-Adults/product-reviews/B086M7Y8PQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/51FZ6IoCf5L.__AC_SY445_SX342_QL70_FMwebp_.jpg","L-Rain Durable TPU Clear Rain Coat for Adults - Women and Men Fashion Hooded Rain Poncho","https://www.amazon.com/dp/B086M7Y8PQ","B085Z8Q74N","B085Z98Y6B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","White","Size","",,
"194","B08N2HH4HP","Wrangler Authentics","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Casual Button-Down Shirts",,"Wrangler Authentic men's quilted long sleeve lined Flannel with hood. This flannel features polyester lined body, interior, two pockets, and brushed flannel exterior making it the perfect jacket for those cold winter nights. The jacket offers versatility, comfort, and warmth, making it a fall and winter essential.",,"Flannel","Imported","Button closure","RELAXED FIT: Constructed with comfort in mind, this long sleeve quilted lined flannel shirt is a wardrobe essential for those cold Winter nights.","HEAVYWEIGHT MATERIALS: Built with button cuffs and quilted polyester padding for more durability and added warmth.","FOR ADDED WARMTH: Padded with diamond black quilted polyester to create extra warmth while also creating breathability, this is an extremely versatile flannel shirt.","FUNCTIONAL STYLE: Lined with 100% cotton, this brushed flannel is made with style in mind. Wear it on the job or out to lunch, this essential closet staple can be worn for many occasions.","ADDED STORAGE: Constructed with (2) dual front chest pockets and (2) side seam pockets, this flannel has easy-access storage for all your basic necessities.",,,,,,,,"true",,"$","30.89",,"$","34.38",,,"39767","/Wrangler-Authentics-Sleeve-Quilted-Flannel/product-reviews/B08N2HH4HP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/813Dgg2DflL.__AC_SX342_SY445_QL70_FMwebp_.jpg","Wrangler Authentics Men's Long Sleeve Quilted Lined Flannel Shirt Jacket with Hood","https://www.amazon.com/dp/B08N2HH4HP","B073JQLHJD","B099DYBJ1H","B01L7B4V00","B073JVMH2Z","B07RXT7J3K","B01L7B4VGY","B07RXV123X","B099F1LLJX","B099F1T8NR","B099DZF284",,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Cloud Burst",,
"93","B0B6LQW23Z","Columbia","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Vests",,,,,,,,,,,,,,,,,,,"true",,"$","16.64",,"$","103.57",,,"15068","/Columbia-Mens-Steens-Mountain-Vest/product-reviews/B0B6LQW23Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/61J0qSHGkxL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Columbia Men's Steens Mountain Vest","https://www.amazon.com/dp/B0B6LQW23Z","B019DYGOMQ","B019DYGV74","B07L4QMCVH","B09KMG7994","B09KMF6CHL","B09KMGMR6L","B00Q7ECQEQ","B0814BJ6WX","B07L52DTKV","B0814B72XH","B089FBG4ZQ","B089FB22ST","B0814BKDRT","B07F31HXZW","B0814BCPPV",,,,,,,,,,,,,,,,,,,,,,"Color","Charcoal Heather","Size","",,
"167","B07BFGG5JT","Gildan","Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Sweatshirts",,,,,,,,,,,,,,,,,,,"true",,"$","12.99",,"$","44.47",,,"36577","/Gildan-Mens-Fleece-Hooded-Sweatshirt/product-reviews/B07BFGG5JT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/61iopPsSWcL.__AC_SY445_SX342_QL70_ML2_.jpg","Gildan Adult Fleece Zip Hooded Sweatshirt, Style G18600","https://www.amazon.com/dp/B07BFGG5JT","B01LWSW45Y","B0B8MNBGLV","B0B8F494KX","B00FDYBGI8","B00FDYBWHS","B0B8MQTP6L","B01LXRYR3Q","B0B8F537LW","B0B8MK4TXJ","B0B8MN6KGB","B0B8MPNBHR","B0B8MQ4RK5","B003IGNPSC","B000NF7ZF0","B00FDYB7AA","B0B8F45G5W","B00FDYAUHQ","B01M0PENQR","B01M117J4J","B00TKGRTZY","B000NF9W88",,,,,,,,,,,,,,,,"Size","","Color","Navy",,
"68","B08FBDSNFH","OTU","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","29.99",,"$","39.99",,,"10085","/Lightweight-Waterproof-Hooded-Outdoor-Raincoat/product-reviews/B08FBDSNFH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/6123Gq420sL.__AC_SY445_SX342_QL70_ML2_.jpg","OTU Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel","https://www.amazon.com/dp/B08FBDSNFH","B08F9Z9LH4","B08F9RTSRM","B08M9MH25P","B08F9X1T99","B08M9Q91KR","B09CPMRV1B","B08F9PPHLH","B08M9SKCGN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"44","B091GZ7GS8","Columbia","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Fleece",,"Columbia Men's Granite Mountain Fleece JacketAuthentic ColumbiaAuthentic ColumbiaFull zip closure with mock neckFull zip closure with mock neckHand pockets with zip closureHand pockets with zip closureDrawcord at hem for an adjustable fit, soft brusher interior for warmth and comfortDrawcord at hem for an adjustable fit, soft brusher interior for warmth and comfortMachine wash, ImportedMachine wash, Imported",,,,,,,,,,,,,,,,,"true",,"$","34.74",,"$","89.95",,,"2806","/Columbia-Granite-Mountain-Fleece-Jacket/product-reviews/B091GZ7GS8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://m.media-amazon.com/images/I/71pQfI+ZFpL._AC_SX342_SY445_.jpg","Columbia Men's Granite Mountain Fleece Jacket","https://www.amazon.com/dp/B091GZ7GS8","B0131KARG2","B00OU89VP8","B01JBKMLW4","B0BG3GS933","B0131KBFMM","B0BG3FQ429","B09MMHSD5P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
"32","B09KNN215S","Little Donkey Andy","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Vests",,,,"WINDPROOF - Mid-layer fabric of the outdoor vest is windproof. Elastic cuffs and drawcord hems help seal out the elements. A chin guard keeps you nice and warm","WATER-RESISTANT & BREATHABLE - Mid-layer fabric is laminated with TPU membrane, featuring water-repellent and 3000/m2/24hr breathability to keep your core comfortable and dry in the light rain","MOVE FREELY - Shell is made of 4-way stretch fabric, allows a wide range of motion or layer beneath. You won't feel any restriction","ULTRA-LIGHT & ZIP-UP POCKETS - This travel vest is super lightweight and packed easily. 2 zip-up hand pockets and 1 chest pocket keep your stuff safe and secure","VERSATILE: This windbreaker is ideal for travel, trail, running, hiking, work, golf etc. Slim fit, can be worn as a mid layer on frigid days or an outer layer in mild cool weather",,,,,,,,,,,"true",,"$","39.99",,"$","46.99",,,"4097","/Little-Donkey-Andy-Lightweight-Sleeveless/product-reviews/B09KNN215S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/71JGGZNZpIL.__AC_SX300_SY300_QL70_ML2_.jpg","Little Donkey Andy Men's Lightweight Softshell Vest, Windproof Sleeveless Jacket for Travel Hiking Running Golf","https://www.amazon.com/dp/B09KNN215S","B082SPGZPP","B082SQ18GM","B082SPFMDK","B095YR5NVR","B095YRNT3L","B095YNSMLP","B09NW3PRNV","B095YQG8NM","B09NW32SWT","B08GZVYC98","B08PF6TDCP","B09Q61LRTK","B08PF3CY8G","B08GZVVD4C",,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"41","B07TD5C7C5","Ourcan","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","36.99",,"$","48.99",,,"2024","/Ourcan-Suits-Fishing-Waterproof-Lightweight/product-reviews/B07TD5C7C5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/61SOBXJMFDL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Ourcan Rain Suits for Men Classic Rain Gear Waterproof Rain Coats Hooded Man's Rainwear Fishing Rain Jacket and Rain Pants","https://www.amazon.com/dp/B07TD5C7C5","B082ZGPJJ8","B082ZGSN9F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"32","B09BD894V9","TEZO","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets › Windbreakers",,,,,,,,,,,,,,,,,,,"true",,"$","35.99",,"$","40.99",,,"2704","/TEZO-Jacket-Waterproof-Lightweight-Windbreaker/product-reviews/B09BD894V9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/71VryIZzPQL.__AC_SX342_SY445_QL70_FMwebp_.jpg","Mens Rain Jacket Waterproof with Hooded Hiking Coat Lightweight Windbreaker","https://www.amazon.com/dp/B09BD894V9","B08136C47G","B07X9MN14C","B0B4W9ZGRH","B09Z7N1Z74","B097SGMVFX","B097SX8B9D","B0B4WBW4BT","B0B2NJYYDW","B09YQYFX17","B097SGRM2H",,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Grey/Black","Size","",,
"249","B0738JFRD1","","Sports & Outdoors › Clothing › Men › Outerwear › Jackets",,"An Amazon brand - Cold-weather style is easy with this versatile water-resistant lightweight puffer jacket featuring a full-zip front and stand-up collarAmazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men’s must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is fine-tuned to offer quality and comfort.",,,,,,,,,,,,,,,,,"true",,"$","24.94",,"$","40.9",,,"20406","/Amazon-Essentials-Lightweight-Water-Resistant-Packable/product-reviews/B0738JFRD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://m.media-amazon.com/images/I/81UiEq+TM6L._AC_SX342_SY445_.jpg","Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket","https://www.amazon.com/dp/B0738JFRD1","B07BN7D19Y","B07BN3XTFZ","B07BN78SM7","B085YL5DB5","B08SSBLGMY","B07C8Y6V3T","B08SS8M9JT","B08SS9TWK5","B08SSB2NCP","B08SS86FV8","B08SS4F2B3","B07C8YFYY6","B08SS8MGSC","B07BN3XSGQ","B08SS9QKZJ","B085YL41N1","B08SS8C92G","B08SS4G7QX","B085YL5DC9","B07BN7D3FV","B085YLDKWQ","B07BN6G6V3","B085YLBKDD","B085YLD2GK","B085YL41JY",,,,,,,,,,,,"Size","","Color","Black",,
